0;1
20742;1.0
20743;1.0
20744;1.0
20746;1.0
20747;1.0
22795;1.0
22797;1.0
22798;1.0
38706;1.0
38707;1.0
38708;1.0
38709;1.0
38710;1.0
38711;1.0
40272;1.0
40273;1.0
40274;1.0
40275;1.0
40276;1.0
40277;1.0
54042;1.0
54043;1.0
54044;1.0
54045;1.0
54046;1.0
54047;1.0
57522;1.0
57523;1.0
57524;1.0
57525;1.0
57526;1.0
57527;1.0
61687;1.0
61688;1.0
61689;1.0
61690;1.0
61691;1.0
90264;1.0
90265;1.0
90266;1.0
90267;1.0
90268;1.0
90269;1.0
90948;1.0
90949;1.0
90950;1.0
90951;1.0
90952;1.0
90953;1.0
93132;1.0
93133;1.0
93135;1.0
93136;1.0
93137;1.0
