n_clusters,s_score
2,0.393250060194
3,0.278814229377
4,0.395199492602
5,0.297580967957
6,0.298125659905
7,0.24948123319
8,0.186889105733
9,0.225937368046
10,0.154320550434
11,0.216613648537
12,0.199010197368
13,0.156262229554
14,0.17761555873
15,0.0951869427434
16,0.126418825268
17,0.165721570837
18,0.168881405847
19,0.188377638562
20,0.184655639596
21,0.192889839411
22,0.0849870146337
23,0.0884921001361
24,0.112771818015
25,0.136992384929
26,0.107753397341
27,0.139563800207
28,0.0333017905071
29,0.116905165568
